Result 1: ,"Deliver Community Engagement Interventions on protection, prevention of GBV and other forms of violence.",,,July 2024,,,,,,,,,,,,,,,,,,August 2024,,,,,,,,,,,,,,,,,,September 2024,,,,,,,,,,,,,,,,,,October 2024,,,,,,,,,,,,,,,,,,November  2024,,,,,,,,,,,,,,,,,,December 2024,,,,,,,,,,,,,,,,,,January 2025,,,,,,,,,,,,,,,,,,February 2025,,,,,,,,,,,,,,,,,,March 2025,,,,,,,,,,,,,,,,,,April 2025,,,,,,,,,,,,,,,,,,May 2025,,,,,,,,,,,,,,,,,,June 2025,,,,,,,,,,,,,,,,,,July 2025,,,,,,,,,,,,,,,,,,August 2025,,,,,,,,,,,,,,,,,,September 2025,,,,,,,,,,,,,,,,,,Total Reach,,,Variance,% Achieved,,,
,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,Male,,,,,,,,,Female,,,,,,,,,,,,,,,,
,,,,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,Refugee,,,,Host,,,,Total,,,,,,,,
,,Location,Target,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,0-4 yrs,5-17 yrs,18-49 yrs,50+ yrs,,Total Male,Total Female,Total,,,,,
I.2.5.8,Comic Book sessions for adolescent girls and young women,, 900 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 13 , 3 , - , - , - , - , - , 16 , - , 30 , 14 , - , - , - , - , - , 44 , - , 14 , - , - , - , - , - , - , 14 , - , 14 , 3 , - , - , - , - , - , 17 , - , 3 , - , - , - , - , - , - , 3 , - , 17 , - , - , - , - , - , - , 17 , - , - , - , - , - , - , - , - , - , - , 29 , 15 , - , - , - , - , - , 44 , - , - , - , - , - , - , - , - , - , - , 56 , 13 , - , - , - , - , - , 69 , - , - , - , - , - , - , - , - , - , - , 105 , 26 , - , - , - , - , - , 131 , - , - , - , - , - , - , - , - , - ,,,,,,,,, - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - , 33 , 322 , 355 , 545 ,39.4%,,,
Result 2: ,"Local partners effectively respond to GBV and protection risks among new arrivals appropriate to their age, gender, and disability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.2.5.8,"Activity2.2: Provide GBV/CP (including Sexual Exploitation and Abuse (SEA)) survivors with comprehensive, age-appropriate, timely and quality GBV/CP/protection case management, including MHPSS, and/or referral services at the holding centres, transit centres and refugee settlements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closed cases,Active Case load,
I.2.5.8,GBV Case Management/ Documantation & provision of multisectoral support to GBV survivors, Nakivale , 550 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , 1 , - , - , 8 , - , - , - , - , - , 8 , - , - , 1 , - , - , - , - , - , 1 , - , - , 11 , - , - , - , - , - , 11 ,,,,,,,,, - , - , - , 17 , - , - , - , - , - , 17 , - , - , - , - , - , - , - , - , - , - , - , 19 , - , - , - , - , - , 19 , - , - , - , - , - , - , - , - , - , - , - , 9 , - , - , - , - , - , 9 , - , - , - , - , - , - , - , - , - , - , - , 11 , - , - , - , - , - , 11 , - , - , - , - , - , - , - , - , - , - , - , 18 , - , - , - , - , - , 18 , - , - , - , - , - , - , - , - , - , - , - , 20 , - , - , - , - , - , 20 , - , - , - , - , - , - , - , - , - , - , - , 24 , - , - , - , - , - , 24 , - , - , - , - , - , - , - , - , - , - , - , 14 , - , - , - , - , - , 14 , - , - , - , - , - , - , - , - , - , - , - , 17 , - , - , - , - , - , 17 , - , - , - , - , - , - , - , - , - ,,, 15 ,,,,,, 15 , - , - , - , - , - , - , - , - , - ,,, 31 ,,,,,, 31 , - , - , - , - , - , - , - , - , - ,,, 21 ,,,,,, 21 , 2 , 235 , 417 , 133 ,75.8%,74, 343 ,
I.2.6.30,Psychosocial Support/ GBV screening and registration of survivors at the reception and transit centres, Nyakabande ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 20 , - , - , - , - , - , 20 , - , - , - , - , - , - , - , - , - , - , - , 54 , - , - , - , - , - , 54 , - , - , - , - , - , - , - , - , - , - , - , 32 , - , - , - , - , - , 32 , - , - , 1 , - , - , - , - , - , 1 , - , - , 30 , - , - , - , - , - , 30 , - , - , - , - , - , - , - , - , - , - , - , 17 , - , - , - , - , - , 17 , - , - , - , - , - , - , - , - , - ,,, 10 ,,,,,, 10 , - , - , - , - , - , - , - , - , - ,,, 7 ,,,,,, 7 , - , - , - , - , - , - , - , - , - ,,, 9 ,,,,,, 9 , 1 , 179 ,,,,,,
I.2.6.30,Refer individual protection assistance to access survivor fund from UCC ,, 150 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , 3 ,,,,,,,,, - , - , - , 7 , - , - , - , - , - , 7 , - , - , - , - , - , - , - , - , - , - , - , 16 , - , - , - , - , - , 16 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,, 1 ,,,,,, 1 ,,, 147 ,,,,,, 147 ,,,,,,,,, - ,,, 60 ,,,,,, 60 , 1 , 233 , 234 ,-84 ,156.0%,,,
I.2.6.30,GBV case conferencing: Facilitate Bi annual meetings case conferencing at settlement and district levels (Meetings),, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - , 1 ,,,,,,,, 1 ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - , 1 , 1 , 2 , - ,100.0%,,,
I.2.6.30,"Refer GBV survivors to access in kind material support - dignity kits, hygiene kits from service providers",, 300 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,, 1 ,,,,,, 1 , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , 3 ,,,,,,,,, - ,,, 65 ,,,,,, 65 ,,,,,,,,, - ,,, 13 ,,,,,, 13 ,,,,,,,,, - ,,, 7 ,,,,,, 7 ,,,,,,,,, - ,,, 119 ,,,,,, 119 ,,,,,,,,, - ,,, 10 ,,,,,, 10 , - , 218 , 218 , 82 ,72.7%,,,
I.2.6.30,Update the referral pathways together with other stakeholders. (Pathways),, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - , - , 1 , 1 , - ,100.0%,,,
